Leg1,Leg2,Leg3,Leg4,Type,Latest,Change,Open,High,Low,Previous,Volume,Time
CLM6,CLZ5,,,SP,38.94,3.29,0,38.94,38.94,35.65,N/A,2026-04-22
CLM6,CYM6,,,AE,0.0025,0.0025,-0.0025,0.0025,-0.0025,0,3174,"08:26 CT"
CLM6,IH1M6,,,BC,96.66,3.76,0,96.66,96.66,92.9,N/A,2026-04-22
CLM6,IWUM6,,,BC,95.56,3.49,0,95.56,95.56,92.07,N/A,2026-04-22
CLM6,QAM6,,,IS,-8.77,0.18,-8.89,-8.62,-9.16,-8.95,7751,"08:27 CT"
CLM6,QAM6,CLN6,QAN6,IP,-0.57,0.58,-1.12,-0.56,-1.26,-1.15,1197,"08:26 CT"
CLM6,QAM6,CLQ6,QAQ6,IP,-1.03,0.52,-1.54,-0.99,-1.65,-1.55,89,"08:14 CT"
CLM6,QAM6,CLU6,QAU6,IP,-1.12,0.53,-1.76,-1.12,-1.82,-1.65,98,"08:21 CT"
CLM6,QAM6,CLV6,QAV6,IP,-1.7,0.28,0,-1.7,-1.7,-1.98,N/A,2026-04-22
CLM6,QAM6,CLX6,QAX6,IP,-1.89,0.2,0,-1.89,-1.89,-2.09,N/A,2026-04-22
CLM6,QAM6,CLZ6,QAZ6,IP,-1.88,0.24,-2.05,-1.85,-2.39,-2.12,32,"08:18 CT"
CLM6,QAM6,CLF7,QAF7,IP,-2.39,0.08,0,-2.39,-2.39,-2.47,N/A,2026-04-22
CLM6,QAM6,CLG7,QAG7,IP,-2.67,0.03,0,-2.67,-2.67,-2.7,N/A,2026-04-22
CLM6,QAM6,CLH7,QAH7,IP,-2.92,-0.01,0,-2.92,-2.92,-2.91,N/A,2026-04-22
CLM6,QAM6,CLJ7,QAJ7,IP,-3.18,-0.06,0,-3.18,-3.18,-3.12,N/A,2026-04-22
CLM6,QAM6,CLK7,QAK7,IP,-3.41,-0.1,0,-3.41,-3.41,-3.31,N/A,2026-04-22
CLM6,QAM6,CLM7,QAM7,IP,-3.56,-0.09,0,-3.56,-3.56,-3.47,N/A,2026-04-22
CLM6,QAM6,CLN7,QAN7,IP,-3.67,-0.1,0,-3.67,-3.67,-3.57,N/A,2026-04-22
CLM6,QAN6,,,IS,-3.45,-0.23,-3.15,-2.22,-3.71,-3.22,2027,"08:26 CT"
CLM6,QAQ6,,,IS,0.66,0.45,0.67,1.13,0.65,0.21,33,2026-04-22
CLM6,QAZ6,,,IS,9.67,1.94,0,9.67,9.67,7.73,N/A,2026-04-22
CLN6,CLQ6,,,SA,86.41,2.1,0,86.41,86.41,84.31,N/A,2026-04-22
CLN6,CLQ6,,,SP,3.96,0.0099999999999998,3.87,4.73,3.83,3.95,10499,"08:27 CT"
CLN6,CLQ6,CLU6,,BF,0.94,-0.09,1.04,1.37,0.91,1.03,904,"08:26 CT"
CLN6,CLQ6,CLU6,,SA,83.9,1.02,83.9,84.77,83.9,82.88,1,2026-04-22
CLN6,CLQ6,CLU6,CLV6,SA,83.4,1.74,0,83.4,83.4,81.66,N/A,2026-04-22
CLN6,CLQ6,QAN6,QAQ6,XS,-7.6,-0.56,0,-7.6,-7.6,-7.04,N/A,2026-04-22
CLN6,CLU6,,,SP,7,0.13,6.68,8.07,6.63,6.87,3988,"08:26 CT"
CLN6,CLV6,,,SP,9.34,0.22,8.78,10.6,8.78,9.12,1063,"08:25 CT"
CLN6,CLV6,CLF7,,BF,5.28,0.86,0,5.28,5.28,4.42,N/A,2026-04-22
CLN6,CLX6,,,SP,10.84,0.16,10.33,12.32,10.3,10.68,729,"08:23 CT"
CLN6,CLZ6,,,SP,12.29,0.37,11.61,13.67,11.61,11.92,778,"08:25 CT"
CLN6,CLF7,,,SP,13.19,1.61,11.55,13.19,11.42,11.58,34,2026-04-22
CLN6,CLG7,,,SP,13.82,1.45,0,13.82,13.82,12.37,N/A,2026-04-22
CLN6,CLH7,,,SP,13.86,0.86,12.97,14.53,12.97,13,6,2026-04-22
CLN6,CLJ7,,,SP,15.09,1.59,0,15.09,15.09,13.5,N/A,2026-04-22
CLN6,CLK7,,,SP,15.54,1.64,0,15.54,15.54,13.9,N/A,2026-04-22
CLN6,CLM7,,,SP,16.13,0.2,15.71,18.16,15.6,15.93,44,"08:21 CT"
CLN6,CLN7,,,SP,16.31,1.74,0,16.31,16.31,14.57,N/A,2026-04-22
CLN6,CLQ7,,,SP,16.67,1.78,0,16.67,16.67,14.89,N/A,2026-04-22
CLN6,CLU7,,,SP,16.98,1.82,0,16.98,16.98,15.16,N/A,2026-04-22
CLN6,CLV7,,,SP,17.25,1.85,0,17.25,17.25,15.4,N/A,2026-04-22
CLN6,CLX7,,,SP,17.5,1.89,0,17.5,17.5,15.61,N/A,2026-04-22
CLN6,CLZ7,,,SP,18.23,0.48,17.53,20.25,17.39,17.75,59,"08:26 CT"
CLN6,CLF8,,,SP,18.04,1.94,0,18.04,18.04,16.1,N/A,2026-04-22
CLN6,CLG8,,,SP,18.33,1.98,0,18.33,18.33,16.35,N/A,2026-04-22
CLN6,CLH8,,,SP,18.59,2,0,18.59,18.59,16.59,N/A,2026-04-22
CLN6,CLJ8,,,SP,18.81,2.02,0,18.81,18.81,16.79,N/A,2026-04-22
CLN6,CLK8,,,SP,18.98,2.05,0,18.98,18.98,16.93,N/A,2026-04-22
CLN6,CLM8,,,SP,18.7,1.64,16.45,19.62,16.45,17.06,29,2026-04-22
CLN6,CLN8,,,SP,19.32,2.09,0,19.32,19.32,17.23,N/A,2026-04-22
CLN6,CLQ8,,,SP,19.53,2.1,0,19.53,19.53,17.43,N/A,2026-04-22
CLN6,CLU8,,,SP,19.74,2.11,0,19.74,19.74,17.63,N/A,2026-04-22
CLN6,CLV8,,,SP,19.93,2.13,0,19.93,19.93,17.8,N/A,2026-04-22
CLN6,CLX8,,,SP,20.08,2.16,0,20.08,20.08,17.92,N/A,2026-04-22
CLN6,CLZ8,,,SP,20.5,0.27,20.81,20.88,19.7,20.23,49,"07:57 CT"
CLN6,CLF9,,,SP,20.43,2.16,0,20.43,20.43,18.27,N/A,2026-04-22
CLN6,CLG9,,,SP,20.64,2.18,0,20.64,20.64,18.46,N/A,2026-04-22
CLN6,CLH9,,,SP,20.83,2.19,0,20.83,20.83,18.64,N/A,2026-04-22
CLN6,CLJ9,,,SP,21,2.2,0,21,21,18.8,N/A,2026-04-22
CLN6,CLK9,,,SP,21.14,2.21,0,21.14,21.14,18.93,N/A,2026-04-22
CLN6,CLM9,,,SP,21.31,2.22,0,21.31,21.31,19.09,N/A,2026-04-22
CLN6,CLN9,,,SP,21.52,2.23,0,21.52,21.52,19.29,N/A,2026-04-22
CLN6,CLQ9,,,SP,21.7,2.24,0,21.7,21.7,19.46,N/A,2026-04-22
CLN6,CLU9,,,SP,21.88,2.24,0,21.88,21.88,19.64,N/A,2026-04-22
CLN6,CLV9,,,SP,22.06,2.25,0,22.06,22.06,19.81,N/A,2026-04-22
CLN6,CLX9,,,SP,22.24,2.26,0,22.24,22.24,19.98,N/A,2026-04-22
CLN6,CYN6,,,AE,-0.0025,-0.0025,-0.0025,0.0025,-0.0025,0,31,"07:04 CT"
CLN6,IH1N6,,,BC,90.83,2.61,0,90.83,90.83,88.22,N/A,2026-04-22
CLN6,IWUN6,,,BC,89.93,2.51,0,89.93,89.93,87.42,N/A,2026-04-22
CLN6,QAN6,,,IS,-8.21,-0.41,-7.8,-7.7,-8.38,-7.8,1627,"08:27 CT"
CLN6,QAN6,CLQ6,QAQ6,IP,-0.39,0.01,-0.41,-0.27,-0.47,-0.4,1307,"08:26 CT"
CLN6,QAN6,CLU6,QAU6,IP,-0.55,-0.05,-0.53,-0.4,-0.67,-0.5,155,"08:21 CT"
CLN6,QAN6,CLV6,QAV6,IP,-0.68,-0.13,-0.64,-0.57,-0.8,-0.55,27,"08:14 CT"
CLN6,QAN6,CLX6,QAX6,IP,-0.74,-0.21,0,-0.74,-0.74,-0.53,N/A,2026-04-22
CLN6,QAN6,CLZ6,QAZ6,IP,-1.18,-0.21,-1.15,-1.05,-1.32,-0.97,15,"08:14 CT"
CLN6,QAN6,CLF7,QAF7,IP,-1.24,-0.33,0,-1.24,-1.24,-0.91,N/A,2026-04-22
CLN6,QAN6,CLG7,QAG7,IP,-1.52,-0.38,0,-1.52,-1.52,-1.14,N/A,2026-04-22
CLN6,QAN6,CLH7,QAH7,IP,-1.77,-0.42,0,-1.77,-1.77,-1.35,N/A,2026-04-22
CLN6,QAN6,CLJ7,QAJ7,IP,-2.03,-0.47,0,-2.03,-2.03,-1.56,N/A,2026-04-22
CLN6,QAN6,CLK7,QAK7,IP,-2.26,-0.51,0,-2.26,-2.26,-1.75,N/A,2026-04-22
CLN6,QAN6,CLM7,QAM7,IP,-2.41,-0.5,0,-2.41,-2.41,-1.91,N/A,2026-04-22
CLN6,QAN6,CLN7,QAN7,IP,-2.52,-0.51,0,-2.52,-2.52,-2.01,N/A,2026-04-22
CLN6,QAN6,CLQ7,QAQ7,IP,-2.56,-0.53,0,-2.56,-2.56,-2.03,N/A,2026-04-22
CLN6,QAQ6,,,IS,-3.86,-0.41,-3.35,-2.82,-4.01,-3.45,522,"08:26 CT"
CLN6,QAU6,,,IS,-0.43,0.42,0,-0.43,-0.43,-0.85,N/A,2026-04-22
CLQ6,CLU6,,,SA,82.97,1.64,0,82.97,82.97,81.33,N/A,2026-04-22
CLQ6,CLU6,,,SP,3.03,0.11,2.82,3.38,2.79,2.92,12137,"08:26 CT"
CLQ6,CLU6,CLV6,,BF,0.69,0.02,0.67,0.84,0.65,0.67,645,"08:26 CT"
CLQ6,CLU6,CLV6,CLX6,SA,80.73,1.43,0,80.73,80.73,79.3,N/A,2026-04-22
CLQ6,CLU6,QAQ6,QAU6,XS,-7.35,-0.53,0,-7.35,-7.35,-6.82,N/A,2026-04-22
CLQ6,CLV6,,,SP,5.35,0.18,4.99,5.89,4.94,5.17,1844,"08:27 CT"
CLQ6,CLX6,,,SP,6.85,0.12,6.49,7.61,6.49,6.73,717,"08:21 CT"
CLQ6,CLX6,CLG7,,BF,3.59,0.42,0,3.59,3.59,3.17,N/A,2026-04-22
CLQ6,CLZ6,,,SP,8.31,0.34,7.75,9,7.67,7.97,1794,"08:25 CT"
CLQ6,CLF7,,,SP,9.23,0.22,8.82,9.91,8.79,9.01,90,"08:14 CT"
CLQ6,CLG7,,,SP,9.73,-0.14,11.03,11.04,9.73,9.87,17,"07:13 CT"
CLQ6,CLH7,,,SP,10.58,0.94,0,10.58,10.58,9.64,N/A,2026-04-22
CLQ6,CLJ7,,,SP,11.14,1,0,11.14,11.14,10.14,N/A,2026-04-22
CLQ6,CLK7,,,SP,11.59,1.05,0,11.59,11.59,10.54,N/A,2026-04-22
CLQ6,CLM7,,,SP,11.71,-0.27,12.78,12.78,11.71,11.98,8,"07:06 CT"
CLQ6,CLN7,,,SP,12.36,1.15,0,12.36,12.36,11.21,N/A,2026-04-22
CLQ6,CLQ7,,,SP,12.72,1.19,0,12.72,12.72,11.53,N/A,2026-04-22
CLQ6,CLU7,,,SP,13.03,1.23,0,13.03,13.03,11.8,N/A,2026-04-22
CLQ6,CLV7,,,SP,13.3,1.26,0,13.3,13.3,12.04,N/A,2026-04-22
CLQ6,CLX7,,,SP,13.55,1.3,0,13.55,13.55,12.25,N/A,2026-04-22
CLQ6,CLZ7,,,SP,13.36,-0.44,15.13,15.44,13.36,13.8,32,"07:17 CT"
CLQ6,CLF8,,,SP,14.09,1.35,0,14.09,14.09,12.74,N/A,2026-04-22
CLQ6,CLG8,,,SP,14.38,1.39,0,14.38,14.38,12.99,N/A,2026-04-22
CLQ6,CLH8,,,SP,14.64,1.41,0,14.64,14.64,13.23,N/A,2026-04-22
CLQ6,CLJ8,,,SP,14.86,1.43,0,14.86,14.86,13.43,N/A,2026-04-22
CLQ6,CLK8,,,SP,15.03,1.46,0,15.03,15.03,13.57,N/A,2026-04-22
CLQ6,CLM8,,,SP,16.17,0.99,15.52,17.11,15.52,15.18,115,"04:00 CT"
CLQ6,CLN8,,,SP,15.37,1.5,0,15.37,15.37,13.87,N/A,2026-04-22
CLQ6,CLQ8,,,SP,15.58,1.51,0,15.58,15.58,14.07,N/A,2026-04-22
CLQ6,CLU8,,,SP,15.79,1.52,0,15.79,15.79,14.27,N/A,2026-04-22
CLQ6,CLV8,,,SP,15.98,1.54,0,15.98,15.98,14.44,N/A,2026-04-22
CLQ6,CLX8,,,SP,16.13,1.57,0,16.13,16.13,14.56,N/A,2026-04-22
CLQ6,CLZ8,,,SP,16.28,1.57,0,16.28,16.28,14.71,N/A,2026-04-22
CLQ6,CLF9,,,SP,16.48,1.57,0,16.48,16.48,14.91,N/A,2026-04-22
CLQ6,CLG9,,,SP,16.69,1.59,0,16.69,16.69,15.1,N/A,2026-04-22
CLQ6,CLH9,,,SP,16.88,1.6,0,16.88,16.88,15.28,N/A,2026-04-22
CLQ6,CLJ9,,,SP,17.05,1.61,0,17.05,17.05,15.44,N/A,2026-04-22
CLQ6,CLK9,,,SP,17.19,1.62,0,17.19,17.19,15.57,N/A,2026-04-22
CLQ6,CLM9,,,SP,17.36,1.63,0,17.36,17.36,15.73,N/A,2026-04-22
CLQ6,CLN9,,,SP,17.57,1.64,0,17.57,17.57,15.93,N/A,2026-04-22
CLQ6,CLQ9,,,SP,17.75,1.65,0,17.75,17.75,16.1,N/A,2026-04-22
CLQ6,CLU9,,,SP,17.93,1.65,0,17.93,17.93,16.28,N/A,2026-04-22
CLQ6,CLV9,,,SP,18.11,1.66,0,18.11,18.11,16.45,N/A,2026-04-22
CLQ6,CLX9,,,SP,18.29,1.67,0,18.29,18.29,16.62,N/A,2026-04-22
CLQ6,CYQ6,,,AE,0.0025,0.0025,-0.0025,0.0025,-0.0025,0,5,"07:56 CT"
CLQ6,IH1Q6,,,BC,86.62,1.94,0,86.62,86.62,84.68,N/A,2026-04-22
CLQ6,IWUQ6,,,BC,85.97,1.93,0,85.97,85.97,84.04,N/A,2026-04-22
CLQ6,QAQ6,,,IS,-7.82,-0.42,-7.37,-7.31,-7.97,-7.4,1081,"08:26 CT"
CLQ6,QAQ6,CLU6,QAU6,IP,-0.17,-0.07,-0.15,-0.12,-0.21,-0.1,2786,"08:26 CT"
CLQ6,QAQ6,CLV6,QAV6,IP,-0.33,-0.18,-0.22,-0.22,-0.39,-0.15,100,"08:21 CT"
CLQ6,QAQ6,CLX6,QAX6,IP,-0.54,-0.2,-0.46,-0.44,-0.64,-0.34,65,"08:25 CT"
CLQ6,QAQ6,CLZ6,QAZ6,IP,-0.84,-0.27,-0.71,-0.71,-0.86,-0.57,9,"08:23 CT"
CLQ6,QAQ6,CLF7,QAF7,IP,-0.84,-0.35,0,-0.84,-0.84,-0.49,N/A,2026-04-22
CLQ6,QAQ6,CLG7,QAG7,IP,-1.12,-0.4,0,-1.12,-1.12,-0.72,N/A,2026-04-22
CLQ6,QAQ6,CLH7,QAH7,IP,-1.37,-0.44,0,-1.37,-1.37,-0.93,N/A,2026-04-22
CLQ6,QAQ6,CLJ7,QAJ7,IP,-1.63,-0.49,0,-1.63,-1.63,-1.14,N/A,2026-04-22
CLQ6,QAQ6,CLK7,QAK7,IP,-1.86,-0.53,0,-1.86,-1.86,-1.33,N/A,2026-04-22
CLQ6,QAQ6,CLM7,QAM7,IP,-2.01,-0.52,0,-2.01,-2.01,-1.49,N/A,2026-04-22
CLQ6,QAQ6,CLN7,QAN7,IP,-2.12,-0.53,0,-2.12,-2.12,-1.59,N/A,2026-04-22
CLQ6,QAQ6,CLQ7,QAQ7,IP,-2.16,-0.55,0,-2.16,-2.16,-1.61,N/A,2026-04-22
CLQ6,QAQ6,CLU7,QAU7,IP,-2.18,-0.54,0,-2.18,-2.18,-1.64,N/A,2026-04-22
CLQ6,QAU6,,,IS,-4.57,-0.19,-4.57,-4.57,-4.57,-4.38,1,"06:24 CT"
CLQ6,QAV6,,,IS,-2.08,0.11,0,-2.08,-2.08,-2.19,N/A,2026-04-22
